what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1342626288860
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1342626288862
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1342626288863
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1342626288864
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1342626288867
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1342626288869
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1342626288871
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1342626288873
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1342626288874
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1342626288875
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1342626288876
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1342626288877
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1342626288877
started,bundle,com.python.pydev.analysis,2.5.0.2012040618,"com.python.pydev.analysis",1342626288878
started,bundle,org.python.pydev,2.5.0.2012040618,"org.python.pydev",1342626288879
started,bundle,org.python.pydev.core,2.5.0.2012040618,"org.python.pydev.core",1342626288880
started,bundle,org.python.pydev.debug,2.5.0.2012040618,"org.python.pydev.debug",1342626288880
os,sysinfo,,,"macosx",1342626288883
arch,sysinfo,,,"x86_64",1342626288883
ws,sysinfo,,,"cocoa",1342626288883
locale,sysinfo,,,"en_US",1342626288883
processors,sysinfo,,,"4",1342626288883
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1342626288883
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-10M3720",1342626288883
java.specification.name,sysinfo,,,"Java Platform API Specification",1342626288883
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342626288883
java.specification.version,sysinfo,,,"1.6",1342626288883
java.vendor,sysinfo,,,"Apple Inc.",1342626288883
java.version,sysinfo,,,"1.6.0_33",1342626288883
java.vm.info,sysinfo,,,"mixed mode",1342626288883
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1342626288883
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342626288883
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342626288883
java.vm.specification.version,sysinfo,,,"1.0",1342626288883
java.vm.vendor,sysinfo,,,"Apple Inc.",1342626288883
java.vm.version,sysinfo,,,"20.8-b03-424",1342626288883
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1342626289944
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626290280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626291961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626395070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626408421
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342626420966
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342626422157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342626426379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626429723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626450037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342626452160
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1342626452385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626454118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626459898
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1342626463257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342626468622
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626474543
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626474717
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626474867
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626475017
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626475178
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626475328
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626475481
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626475643
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626475905
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1342626476193
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1342626478081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342626480012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626729602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626731515
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342626731757
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1342626732408
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1342626732618
